# These are calculated in BinaryResidenceTime_AGN_Disk-ChangeGas.ipynb
# using m1=0.5, m2=0.3
# GW_frequency roughly in the LISA range, from 10^-4 to 1 Hz
# the gw_fdot assumes pure GW-driven inspiral (Peters 1964)
# the drag_fdot assumes no-feedback and the drag is calculated using a
# temperature of T=1e5 for the RSG envelope as representative
# GW_frequency	gw_fdot	drag_fdot
1.590000000000000094e-02 2.381319431353899956e-14 2.357243361184269412e-10
1.600000000000000033e-02 2.436696669401388819e-14 2.367116649812162025e-10
1.609999999999999973e-02 2.493004593570739330e-14 2.376969390344370162e-10
1.619999999999999912e-02 2.550252918650116446e-14 2.386801752777610984e-10
1.629999999999999852e-02 2.608451399738213904e-14 2.396613904662561371e-10
1.640000000000000138e-02 2.667609832161135099e-14 2.406406011153832557e-10
1.650000000000000078e-02 2.727738051389954596e-14 2.416178235058615590e-10
1.660000000000000017e-02 2.788845932958965634e-14 2.425930736884065852e-10
1.669999999999999957e-02 2.850943392384568820e-14 2.435663674883435958e-10
1.679999999999999896e-02 2.914040385084827560e-14 2.445377205101024235e-10
1.689999999999999836e-02 2.978146906299664051e-14 2.455071481415959457e-10
1.700000000000000122e-02 3.043272991011688889e-14 2.464746655584865788e-10
1.710000000000000062e-02 3.109428713867650396e-14 2.474402877283436881e-10
1.720000000000000001e-02 3.176624189100519782e-14 2.484040294146967726e-10
1.729999999999999941e-02 3.244869570452163206e-14 2.493659051809853558e-10
1.739999999999999880e-02 3.314175051096627266e-14 2.503259293944111662e-10
1.750000000000000167e-02 3.384550863564017074e-14 2.512841162296935367e-10
1.760000000000000106e-02 3.456007279664944210e-14 2.522404796727325228e-10
1.770000000000000046e-02 3.528554610415578625e-14 2.531950335241818572e-10
1.779999999999999985e-02 3.602203205963240122e-14 2.541477914029338100e-10
1.789999999999999925e-02 3.676963455512574231e-14 2.550987667495207624e-10
1.799999999999999864e-02 3.752845787252266399e-14 2.560479728294326145e-10
1.810000000000000150e-02 3.829860668282314694e-14 2.569954227363561795e-10
1.820000000000000090e-02 3.908018604541825684e-14 2.579411293953354792e-10
1.830000000000000029e-02 3.987330140737370083e-14 2.588851055658585750e-10
1.839999999999999969e-02 4.067805860271840129e-14 2.598273638448696944e-10
1.849999999999999908e-02 4.149456385173834535e-14 2.607679166697119264e-10
1.859999999999999848e-02 4.232292376027557786e-14 2.617067763209997090e-10
1.870000000000000134e-02 4.316324531903227463e-14 2.626439549254256086e-10
1.880000000000000074e-02 4.401563590287965608e-14 2.635794644585013378e-10
1.890000000000000013e-02 4.488020327017212635e-14 2.645133167472362698e-10
1.899999999999999953e-02 4.575705556206602560e-14 2.654455234727539138e-10
1.909999999999999892e-02 4.664630130184331753e-14 2.663760961728492994e-10
1.919999999999999832e-02 4.754804939423999101e-14 2.673050462444881472e-10
1.930000000000000118e-02 4.846240912477920128e-14 2.682323849462497402e-10
1.940000000000000058e-02 4.938949015910892341e-14 2.691581234007152012e-10
1.949999999999999997e-02 5.032940254234443985e-14 2.700822725968018478e-10
1.959999999999999937e-02 5.128225669841513209e-14 2.710048433920465216e-10
1.969999999999999876e-02 5.224816342941579086e-14 2.719258465148378896e-10
1.980000000000000163e-02 5.322723391496241966e-14 2.728452925665997878e-10
