# These are calculated in BinaryResidenceTime_AGN_Disk-ChangeGas.ipynb
# asusming m1=m2=1 Msun
# GW_frequency roughly in the LISA range, from 10^-4 to 1 Hz
# the gw_fdot assumes pure GW-driven inspiral (Peters 1964)
# the drag_fdot assumes no-feedback and the drag is calculated using a
# temperature of 1e5 for the RSG envelope as representative
#
#
# GW_frequency	gw_fdot	drag_fdot
1.000000000000000021e-02 2.136109958351036557e-14 3.187373891067109400e-10
1.009999999999999960e-02 2.215484122024658676e-14 3.208587791564516651e-10
1.020000000000000073e-02 2.296981872409609400e-14 3.229731793264597311e-10
1.030000000000000013e-02 2.380638367334184617e-14 3.250806808415074924e-10
1.039999999999999952e-02 2.466488995172701920e-14 3.271813728630346965e-10
1.050000000000000065e-02 2.554569374096934724e-14 3.292753425551786424e-10
1.060000000000000005e-02 2.644915351337172997e-14 3.313626751480836373e-10
1.069999999999999944e-02 2.737563002452712470e-14 3.334434539986261349e-10
1.080000000000000057e-02 2.832548630611535009e-14 3.355177606486845436e-10
1.089999999999999997e-02 2.929908765878995897e-14 3.375856748810737992e-10
1.099999999999999936e-02 3.029680164515330888e-14 3.396472747732606647e-10
1.110000000000000049e-02 3.131899808281773212e-14 3.417026367489650665e-10
1.119999999999999989e-02 3.236604903755105074e-14 3.437518356277498305e-10
1.129999999999999928e-02 3.343832881650484308e-14 3.457949446726952885e-10
1.140000000000000041e-02 3.453621396152340760e-14 3.478320356362476762e-10
1.149999999999999981e-02 3.566008324253192208e-14 3.498631788043270405e-10
1.159999999999999920e-02 3.681031765100234026e-14 3.518884430387760803e-10
1.170000000000000033e-02 3.798730039349508860e-14 3.539078958182248336e-10
1.179999999999999973e-02 3.919141688527521888e-14 3.559216032774439498e-10
1.190000000000000085e-02 4.042305474400171657e-14 3.579296302452554632e-10
1.200000000000000025e-02 4.168260378348804023e-14 3.599320402810637256e-10
1.209999999999999964e-02 4.297045600753305252e-14 3.619288957100701904e-10
1.220000000000000077e-02 4.428700560382052532e-14 3.639202576572279369e-10
1.230000000000000017e-02 4.563264893788597571e-14 3.659061860799915593e-10
1.239999999999999956e-02 4.700778454714993033e-14 3.678867397999157252e-10
1.250000000000000069e-02 4.841281313501577535e-14 3.698619765331502227e-10
1.260000000000000009e-02 4.984813756503120765e-14 3.718319529198788012e-10
1.269999999999999948e-02 5.131416285511247920e-14 3.737967245527480253e-10
1.280000000000000061e-02 5.281129617182958576e-14 3.757563460043265170e-10
1.290000000000000001e-02 5.433994682475165512e-14 3.777108708536354820e-10
1.299999999999999940e-02 5.590052626085164504e-14 3.796603517117902222e-10
1.310000000000000053e-02 5.749344805896874167e-14 3.816048402467870173e-10
