# These are calculated in BinaryResidenceTime_AGN_Disk-ChangeGas.ipynb
# using m1=0.5 and m2=0.3Msun
# GW_frequency roughly in the LISA range, from 10^-4 to 1 Hz
# the gw_fdot assumes pure GW-driven inspiral (Peters 1964)
# the drag_fdot assumes no-feedback and the drag is calculated using a
# temperature of 900000 K and density 1e-06 g cm^-3
# for the RSG envelope as representative
#
# GW_frequency	gw_fdot	drag_fdot
#
4.700000000000000185e-03 2.729315106846891641e-16 1.162239775440665825e-11
4.799999999999999580e-03 2.948352485447362153e-16 1.178667532235856971e-11
4.899999999999999842e-03 3.179902665248728311e-16 1.194981593025032955e-11
5.000000000000000104e-03 3.424403107722030150e-16 1.211185041508904035e-11
5.100000000000000366e-03 3.682297267287031516e-16 1.227280817933212727e-11
5.199999999999999761e-03 3.954034551082589762e-16 1.243271728436553923e-11
5.300000000000000024e-03 4.240070279796103258e-16 1.259160453621482747e-11
5.400000000000000286e-03 4.540865649504132645e-16 1.274949556426843986e-11
5.499999999999999681e-03 4.856887694479418602e-16 1.290641489370148223e-11
5.599999999999999943e-03 5.188609250922257731e-16 1.306238601220919771e-11
5.700000000000000205e-03 5.536508921576713159e-16 1.321743143159056170e-11
5.799999999999999600e-03 5.901071041194622823e-16 1.337157274466267335e-11
5.899999999999999863e-03 6.282785642812460384e-16 1.352483067793411447e-11
6.000000000000000125e-03 6.682148424808089677e-16 1.367722514041971279e-11
6.100000000000000387e-03 7.099660718706484408e-16 1.382877526893879576e-11
6.199999999999999782e-03 7.535829457705023098e-16 1.397949947020366032e-11
6.300000000000000044e-03 7.991167145890727465e-16 1.412941545997366479e-11
6.400000000000000307e-03 8.466191828123222484e-16 1.427854029952277216e-11
6.499999999999999702e-03 8.961427060558626222e-16 1.442689042964392078e-11
6.599999999999999964e-03 9.477401881790919549e-16 1.457448170239176698e-11
6.700000000000000226e-03 1.001465078458842069e-15 1.472132941074626553e-11
6.799999999999999621e-03 1.057371368820428528e-15 1.486744831636208473e-11
6.899999999999999883e-03 1.115513591124092475e-15 1.501285267555374059e-11
7.000000000000000146e-03 1.175946814504917887e-15 1.515755626365249216e-11
7.100000000000000408e-03 1.238726642764415849e-15 1.530157239785874400e-11
7.199999999999999803e-03 1.303909211812036638e-15 1.544491395870280128e-11
7.300000000000000065e-03 1.371551187154967381e-15 1.558759341021674823e-11
7.400000000000000328e-03 1.441709761434634428e-15 1.572962281891152558e-11
7.499999999999999722e-03 1.514442652008420072e-15 1.587101387164502375e-11
7.599999999999999985e-03 1.589808098575155527e-15 1.601177789245999694e-11
7.700000000000000247e-03 1.667864860843019718e-15 1.615192585846384678e-11
7.799999999999999642e-03 1.748672216238543441e-15 1.629146841481659215e-11
7.900000000000000772e-03 1.832289957655462049e-15 1.643041588888784572e-11
8.000000000000000167e-03 1.918778391242212054e-15 1.656877830363874150e-11
8.099999999999999561e-03 2.008198334226950310e-15 1.670656539028050597e-11
8.200000000000000691e-03 2.100611112778965105e-15 1.684378660025705781e-11
8.300000000000000086e-03 2.196078559905442639e-15 1.698045111659563844e-11
8.399999999999999481e-03 2.294663013382585417e-15 1.711656786466595993e-11
8.500000000000000611e-03 2.396427313720098684e-15 1.725214552238533903e-11
8.600000000000000006e-03 2.501434802158110864e-15 1.738719252990453621e-11
8.699999999999999400e-03 2.609749318695661466e-15 1.752171709880646292e-11
8.800000000000000530e-03 2.721435200149863829e-15 1.765572722084753227e-11
8.899999999999999925e-03 2.836557278244927451e-15 1.778923067626931199e-11
8.999999999999999320e-03 2.955180877730267975e-15 1.792223504170626122e-11
9.100000000000000450e-03 3.077371814526897059e-15 1.805474769771335196e-11
9.199999999999999845e-03 3.203196393901384896e-15 1.818677583593585740e-11
9.299999999999999239e-03 3.332721408666692926e-15 1.831832646594203821e-11
9.400000000000000369e-03 3.466014137409163194e-15 1.844940642173796862e-11
9.499999999999999764e-03 3.603142342741017895e-15 1.858002236798257085e-11
9.599999999999999159e-03 3.744174269577758530e-15 1.871018080591961487e-11
9.700000000000000289e-03 3.889178643439813846e-15 1.883988807904238047e-11
9.799999999999999684e-03 4.038224668777849670e-15 1.896915037850571586e-11
9.900000000000000813e-03 4.191382027321216421e-15 1.909797374829912501e-11
1.000000000000000021e-02 4.348720876448897699e-15 1.922636409019381506e-11
1.009999999999999960e-02 4.510311847582523312e-15 1.935432716847571386e-11
1.020000000000000073e-02 4.676226044600847212e-15 1.948186861447574116e-11
