mass	MS_duration	core_mass
4.3722	143.731	0.702791
4.38429	142.76	0.705441
4.39035	142.278	0.706769
4.39642	141.797	0.7081
4.4025	141.318	0.709434
4.40859	140.84	0.71077
4.41468	140.365	0.712108
4.42079	139.891	0.713448
4.4269	139.419	0.714792
4.43302	138.949	0.716137
4.43915	138.48	0.717485
4.44528	138.014	0.718836
4.45143	137.549	0.720189
4.45758	137.085	0.721544
4.46375	136.624	0.722902
4.46992	136.164	0.724262
4.4761	135.706	0.725625
4.48229	135.25	0.72699
4.48848	134.795	0.728358
4.49469	134.342	0.729729
4.5009	133.891	0.731101
4.50712	133.441	0.732477
4.51336	132.993	0.733855
4.5196	132.547	0.735235
4.52584	132.102	0.736618
4.5321	131.659	0.738003
4.53837	131.218	0.739391
4.55092	130.34	0.742175
4.55721	129.904	0.74357
4.56352	129.469	0.744969
4.54464	130.778	0.740782
4.56982	129.035	0.746369
4.57614	128.604	0.747773
4.58247	128.174	0.749178
4.5888	127.746	0.750587
4.59515	127.319	0.751998
4.6015	126.893	0.753411
4.60786	126.47	0.754828
4.61423	126.048	0.756246
4.627	125.208	0.759092
4.62061	125.627	0.757668
4.6334	124.791	0.760518
4.6398	124.375	0.761947
4.64622	123.961	0.763379
4.65264	123.548	0.764814
4.66551	122.727	0.76769
4.65907	123.137	0.766251
4.67196	122.319	0.769133
4.67842	121.912	0.770578
4.68489	121.507	0.772025
4.69137	121.103	0.773475
4.69785	120.701	0.774928
4.70435	120.3	0.776384
4.71085	119.901	0.777842
4.71736	119.503	0.779303
4.73042	118.712	0.782233
4.72389	119.107	0.780767
4.73696	118.319	0.783702
4.75006	117.536	0.786648
4.74351	117.927	0.785174
4.75663	117.147	0.788126
4.76321	116.76	0.789605
4.76979	116.374	0.791088
4.77639	115.989	0.792573
4.78299	115.605	0.794061
4.79622	114.843	0.797046
4.7896	115.224	0.795552
4.80285	114.464	0.798542
4.80949	114.086	0.800041
4.81614	113.71	0.801543
4.8228	113.335	0.803047
4.82947	112.961	0.804554
4.83615	112.589	0.806064
4.84283	112.218	0.807577
4.84953	111.849	0.809093
4.85623	111.481	0.810611
4.86967	110.749	0.813656
4.86294	111.114	0.812132
4.8764	110.385	0.815183
4.88314	110.022	0.816713
4.88989	109.661	0.818245
4.89665	109.301	0.819781
4.90342	108.942	0.821319
4.9102	108.585	0.82286
4.91699	108.228	0.824403
4.92379	107.874	0.82595
4.93059	107.52	0.827499
4.95107	106.468	0.832165
4.93741	107.168	0.829052
4.94424	106.817	0.830607
4.95792	106.119	0.833726
4.96477	105.772	0.83529
4.97164	105.426	0.836856
4.97851	105.082	0.838426
4.98539	104.739	0.839998
4.99228	104.397	0.841574
4.99919	104.056	0.843152
5.0061	103.716	0.844733
5.01302	103.378	0.846317
5.01995	103.041	0.847904
5.02689	102.705	0.849494
5.03384	102.371	0.851087
5.0408	102.038	0.852683
5.04777	101.706	0.854282
5.05474	101.375	0.855883
5.06173	101.045	0.857488
5.06873	100.716	0.859095
5.07574	100.389	0.860706
5.08978	99.7382	0.863936
5.08276	100.063	0.86232
5.09682	99.4145	0.865556
5.10387	99.092	0.867178
5.11092	98.7707	0.868804
5.11799	98.4505	0.870432
5.13215	97.8136	0.873698
5.12506	98.1315	0.872064
5.13924	97.497	0.875336
5.14635	97.1814	0.876976
5.15346	96.8671	0.87862
5.16059	96.5538	0.880267
5.16772	96.2417	0.881916
5.17487	95.9308	0.883569
5.18202	95.6209	0.885225
5.18919	95.3122	0.886884
5.19636	95.0047	0.888546
5.20354	94.6982	0.890211
5.21074	94.3929	0.891879
5.21794	94.0886	0.89355
5.22515	93.7855	0.895224
5.23238	93.4835	0.896902
5.23961	93.1826	0.898582
5.24686	92.8827	0.900266
5.25411	92.584	0.901952
5.26137	92.2863	0.903642
5.26865	91.9898	0.905335
